Designator Footprint               Mid-X         Mid-Y         Ref-X         Ref-Y         Pad-X         Pad-Y TB      Rotation Comment        

C2         CAP_MIFON_1206    1282.992mil   1060.347mil   1282.992mil   1060.347mil   1282.992mil   1120.347mil  B         90.00 100n           
L1         3225[1210]        1391.992mil   1046.347mil   1391.992mil   1046.347mil   1391.992mil   1101.465mil  B         90.00 10uH           
C38        CAP_MIFON_CASE_A       2340mil        238mil       2340mil        238mil       2340mil        298mil  B         90.00 4u7            
Q9         INF-SOT23_M           2045mil       2520mil       2045mil       2520mil   1997.756mil   2482.598mil  B        360.00 MMBT2222A      
Q15        MICRO3                2133mil        124mil       2133mil        124mil   2095.598mil     170.26mil  B        180.00 BC848B         
R55        REZ_MIFON_1206        1888mil        114mil       1888mil        114mil       1888mil        174mil  B         90.00 4k7            
R56        REZ_MIFON_1206        2244mil        118mil       2244mil        118mil       2244mil         58mil  B        270.00 1k5            
C42        CAP_MIFON_1206    1077.992mil   1100.347mil   1077.992mil   1100.347mil   1137.992mil   1100.347mil  B        360.00 100n           
C41        CAP_MIFON_1206    1407.992mil    845.346mil   1407.992mil    845.346mil   1407.992mil    785.346mil  B        270.00 100n           
C40        CAP_MIFON_1206    1747.992mil   2630.347mil   1747.992mil   2630.347mil   1147.992mil   2630.347mil  B        180.00 100n           
C39        CAP_MIFON_1206    1747.992mil   2630.347mil   1747.992mil   2630.347mil   1147.992mil   2630.347mil  B        360.00 100n           
R61        REZ_MIFON_1206        1030mil       2070mil       1030mil       2070mil        970mil       2070mil  B        180.00 10k            
Q8         INF-SOT23_M           2045mil       2815mil       2045mil       2815mil   1997.756mil   2777.598mil  B        360.00 MMBT2222A      
R52        REZ_MIFON_1206        1570mil       3000mil       1570mil       3000mil       1570mil       2940mil  B        270.00 10k            
R54        REZ_MIFON_1206        1116mil       2699mil       1116mil       2699mil       1116mil       2759mil  B         90.00 10k            
C32        CAP_12,5X25_LEżąCY    590.551mil   2523.772mil    590.551mil   2425.347mil    590.551mil   2425.347mil  T        270.00 1000u          
L3         3225[1210]             443mil        509mil        443mil        509mil    387.882mil        509mil  B        180.00 22uH           
P13        JTAG                  1530mil       4260mil       1330mil       4210mil       1330mil       4210mil  T        360.00 JTAG           
R45        REZ_MIFON_1206         880mil       1765mil        880mil       1765mil        940mil       1765mil  B        360.00 1k             
C3         CAP_MIFON_1206         872mil       3818mil        872mil       3818mil        812mil       3818mil  B        180.00 100n           
D1         DIODE_NIFON_1206_MELF       1044mil       3827mil       1044mil       3827mil       1044mil       3887mil  B         90.00 LL4148         
R5         REZ_MIFON_1206        1047mil       4058mil       1047mil       4058mil       1047mil       3998mil  B        270.00 220R           
B1         DTS6              1038.417mil   3843.953mil       1127mil       3716mil       1127mil       3716mil  T        180.00 DTS6           
U6         TO92SZ               862.5mil        493mil        862mil        493mil        962mil        493mil  T         90.00 MCP9700        
Ref1       Ref_circle        1220.472mil   3484.252mil       1206mil       3460mil   1220.472mil   3484.252mil  B        180.00 Ref1           
Ref2       Ref_circle          118.11mil     118.11mil         84mil         78mil     118.11mil     118.11mil  B         90.00 Ref1           
Ref3       Ref_circle        2716.535mil   4409.449mil   2719.905mil   4447.032mil   2716.535mil   4409.449mil  B         90.00 Ref1           
Ref4       Ref_circle        1075.953mil    835.921mil       1085mil        835mil   1075.953mil    835.921mil  B         90.00 Ref1           
Rt1        MF-01                  695mil   3353.347mil        795mil   3353.347mil        795mil   3353.347mil  T        180.00 MF01           
Rt3        MF-01                  327mil        286mil        327mil        186mil        327mil        186mil  T         90.00 MF01           
R17        REZ_MIFON_1206        2410mil       3030mil       2410mil       3030mil       2350mil       3030mil  B        180.00 10k            
U8         NSO16_N               2245mil        602mil       2245mil        602mil   2150.512mil        427mil  B        360.00 DG455          
D4         DIODE_NIFON_1206_MELF       2220mil       2670mil       2220mil       2670mil       2280mil       2670mil  B        180.00 LL4148         
D5         DIODE_NIFON_1206_MELF       2220mil       2815mil       2220mil       2815mil       2280mil       2815mil  B        180.00 LL4148         
D6         DIODE_NIFON_1206_MELF       2220mil       2520mil       2220mil       2520mil       2280mil       2520mil  B        180.00 LL4148         
R18        REZ_MIFON_1206        2410mil   2935.347mil       2410mil   2935.347mil       2350mil   2935.347mil  B        180.00 1k             
C33        CAP_12,5X25_LEżąCY    590.551mil   1803.425mil    590.551mil       1705mil    590.551mil       1705mil  T        270.00 1000u          
Q10        micro3                 845mil       1895mil        845mil       1895mil     798.74mil   1857.598mil  B         90.00 BC848B         
Q6         micro3                2190mil       3020mil       2190mil       3020mil    2143.74mil   2982.598mil  B         90.00 BC848B         
Q12        MICRO3                1895mil       3015mil       1895mil       3015mil   1932.402mil    2968.74mil  B        180.00 2N7002         
Q13        Micro3                2040mil       3010mil       2040mil       3010mil   2002.598mil    3056.26mil  B        360.00 BC848B         
Q14        micro3                2002mil        124mil       2002mil        124mil   1964.598mil     170.26mil  B        360.00 BC848B         
R47        REZ_MIFON_1206         310mil       3435mil        310mil       3435mil        310mil       3495mil  B         90.00 4R7            
R48        REZ_MIFON_1206         650mil   3575.347mil        650mil   3575.347mil        590mil   3575.347mil  B        180.00 10k            
R49        REZ_MIFON_1206     497.992mil       1880mil    497.992mil       1880mil    497.992mil       1940mil  B         90.00 100k           
R50        REZ_MIFON_1206        1775mil       3000mil       1775mil       3000mil       1775mil       3060mil  B         90.00 470            
Q2         SO-8_N                 660mil   3124.653mil        660mil   3124.653mil        585mil   3219.142mil  B        270.00 IRF7309        
Q3         SO-8_N             885.346mil   3122.646mil    885.346mil   3122.646mil    960.346mil   3028.157mil  B         90.00 IRF7309        
D3         VISH-DO-214AC-2_M        495mil       3085mil        495mil       3085mil        495mil   3021.024mil  B         90.00 SMAJ18CA-E3/61 
R9         REZ_MIFON_1206         429mil       1003mil        429mil       1003mil        369mil       1003mil  B        180.00 47k            
P15        dip2              2472.992mil        615mil   2472.992mil        715mil   2472.992mil        715mil  T        270.00 Header 2       
C43        CAPC2012X135N      567.992mil        695mil    567.992mil        695mil    567.992mil    659.567mil  B         90.00 3u3            
C44        CAPC2012X135N      342.992mil        825mil    342.992mil        825mil    378.425mil        825mil  B        180.00 3u3            
C45        CAPC2012X135N      482.992mil        695mil    482.992mil        695mil    482.992mil    659.567mil  B         90.00 3u3            
U9         TI-DBV5_L              345mil    695.346mil        345mil    695.346mil    392.244mil    732.748mil  B        180.00 TPS60402DBVT   

