|------------------------------------------------------------------------------------------------------------------------------------
|                                COMPONENT  CENTER  REPORT
|------------------------------------------------------------------------------------------------------------------------------------
|             |                              |                              |                              |        MM         |   | 
|             |                              |                              |                              |-------------------|   | 
|   refdes    |         device type          |      value & tolerance       |        package symbol        |    x    |    y    |ang|m
|------------------------------------------------------------------------------------------------------------------------------------
R917           R_R0402_H16_DISCRETE_1KOHM     1KOhm                          R0402_H16                        453.771   198.679 0   N
R918           R_R0402_H16_DISCRETE_1KOHM     1KOhm                          R0402_H16                        453.771   200.965 0   N
R919           R_R0402_DISCRETE_0OHM          0Ohm                           R0402                            465.303   200.279 270 N
R920           R_R0402_DISCRETE_0OHM          0Ohm                           R0402                            465.303   197.739 90  N
R921           R_R0402_DISCRETE_0OHM          0Ohm                           R0402                            464.236   200.279 90  N
R922           R_R0402_DISCRETE_0OHM          0Ohm                           R0402                            464.210   197.739 270 N
R923           R_R0402_H16_DISCRETE_10KOHM    10KOhm                         R0402_H16                        453.771   196.380 0   N
R924           R_R0402_H16_DISCRETE_10KOHM    10KOhm                         R0402_H16                        453.771   199.822 0   N
R925           R_R0402_H16_DISCRETE_10KOHM    10KOhm                         R0402_H16                        453.771   202.057 0   N
R926           R_R0402_DISCRETE_0OHM          0Ohm                           R0402                            136.814   225.840 270 N
R927           R_R0402_DISCRETE_0OHM          0Ohm                           R0402                            138.430   225.806 270 N
R928           R_R0402_H16_DISCRETE_4.7KOHM   4.7KOhm                        R0402_H16                         37.938   262.208 0   N
R929           R_R0402_H16_DISCRETE_4.7KOHM   4.7KOhm                        R0402_H16                         33.925   262.258 0   N
R930           R_R0402_H16_DISCRETE_4.7KOHM   4.7KOhm                        R0402_H16                         51.062   263.093 90  N
R931           R_R0402_H16_DISCRETE_4.7KOHM   4.7KOhm                        R0402_H16                         47.037   262.969 90  N
R932           R_R0402_H16_DISCRETE_4.7KOHM   4.7KOhm                        R0402_H16                         62.230   264.033 90  N
R933           R_R0402_H16_DISCRETE_4.7KOHM   4.7KOhm                        R0402_H16                         58.447   264.052 90  N
R934           R_R0402_DISCRETE_1KOHM         1KOHM                          R0402                            122.378   267.470 270 N
R942           R_R0402_H16_DISCRETE_1KOHM     1KOhm                          R0402_H16                        167.611   211.461 0   N
R943           R_R0402_H16_DISCRETE_1KOHM     1KOhm                          R0402_H16                        167.611   209.565 0   N
R944           R_R0402_DISCRETE_0OHM          0Ohm                           R0402                            256.021   201.553 90  N
R946           R_R0402_H16_DISCRETE_4.7KOHM   4.7KOhm                        R0402_H16                        452.034   206.248 90  N
R947           R_R0402_H16_DISCRETE_4.7KOHM   4.7KOhm                        R0402_H16                        451.018   206.248 270 N
R948           R_R0402_H16_DISCRETE_4.7KOHM   4.7KOhm                        R0402_H16                        453.177   206.248 90  N
R949           R_R0402_H16_DISCRETE_4.7KOHM   4.7KOhm                        R0402_H16                        454.193   206.248 270 N
R950           R_R0402_H16_DISCRETE_4.7KOHM   4.7KOhm                        R0402_H16                        159.629   228.828 180 N
R951           R_R0402_H16_DISCRETE_4.7KOHM   4.7KOhm                        R0402_H16                        156.870   227.711 0   N
R952           R_R0402_H16_DISCRETE_4.7KOHM   4.7KOhm                        R0402_H16                        156.870   228.854 0   N
R953           R_R0402_H16_DISCRETE_4.7KOHM   4.7KOhm                        R0402_H16                        159.639   227.711 180 N
R954           R_R0402_H16_DISCRETE_4.7KOHM   4.7KOhm                        R0402_H16                        455.209   206.248 90  N
R955           R_R0402_H16_DISCRETE_4.7KOHM   4.7KOhm                        R0402_H16                        159.639   229.997 180 N
R956           R_R0402_H16_DISCRETE_4.7KOHM   4.7KOhm                        R0402_H16                        457.685   206.248 270 N
R957           R_R0402_H16_DISCRETE_4.7KOHM   4.7KOhm                        R0402_H16                        456.241   206.244 270 N
R960           R_R0402_H16_DISCRETE_4.7KOHM   4.7KOhm                        R0402_H16                        461.012   206.248 270 N
R961           R_R0402_H16_DISCRETE_4.7KOHM   4.7KOhm                        R0402_H16                        462.145   206.277 270 N
R964           R_R0402_H16_DISCRETE_4.7KOHM   4.7KOhm                        R0402_H16                        456.057   218.567 270 N
R965           R_R0402_H16_DISCRETE_4.7KOHM   4.7KOhm                        R0402_H16                        455.041   218.567 90  N
R966           R_R0402_H16_DISCRETE_4.7KOHM   4.7KOhm                        R0402_H16                        461.899   218.567 90  N
R967           R_R0402_H16_DISCRETE_4.7KOHM   4.7KOhm                        R0402_H16                        463.570   218.564 90  N
R970           R_R0402_H16_DISCRETE_4.7KOHM   4.7KOhm                        R0402_H16                        460.742   218.567 90  N
R971           R_R0402_H16_DISCRETE_4.7KOHM   4.7KOhm                        R0402_H16                        459.274   218.554 90  N
R972           R_R0402_H16_DISCRETE_4.7KOHM   4.7KOhm                        R0402_H16                        457.200   218.567 90  N
R973           R_R0402_H16_DISCRETE_4.7KOHM   4.7KOhm                        R0402_H16                        458.247   218.555 90  N
R974           R_R0402_DISCRETE_2KOHM         2KOHM                          R0402                            156.845   231.140 0   N
R975           R_R0402_DISCRETE_2KOHM         2KOHM                          R0402                            156.855   230.104 0   N
R982           R_R0402_H16_DISCRETE_4.7KOHM   4.7KOhm                        R0402_H16                        143.231   230.251 0   N
R983           R_R0402_H16_DISCRETE_4.7KOHM   4.7KOhm                        R0402_H16                        145.618   230.251 0   N
R986           R_R0402_H16_DISCRETE_4.7KOHM   4.7KOhm                        R0402_H16                        145.415   234.569 180 N
R987           R_R0402_H16_DISCRETE_4.7KOHM   4.7KOhm                        R0402_H16                        145.415   236.093 180 N
R992           R_R0402_H16_DISCRETE_4.7KOHM   4.7KOhm                        R0402_H16                        253.746   201.549 270 N
R993           R_R0402_H16_DISCRETE_4.7KOHM   4.7KOhm                        R0402_H16                        254.889   201.549 270 N
R994           R_R0402_H16_DISCRETE_4.7KOHM   4.7KOhm                        R0402_H16                        254.889   199.009 90  N
R995           R_R0402_H16_DISCRETE_4.7KOHM   4.7KOhm                        R0402_H16                        253.746   199.009 90  N
R1000          R_R0402_H14_DISCRETE_0OHM      0Ohm                           R0402_H14                        165.481   313.785 90  N
R1001          R_R0402_H14_DISCRETE_0OHM      0Ohm                           R0402_H14                        163.038   313.803 90  N
R1003          R_R0402_H14_DISCRETE_0OHM      0Ohm                           R0402_H14                        146.956   302.160 180 N
R1005          R_R0402_H14_DISCRETE_0OHM      0Ohm                           R0402_H14                        160.936   313.436 90  N
R1009          R_R0402_H14_DISCRETE_0OHM      0Ohm                           R0402_H14                        159.893   313.436 90  N
R1010          R_R0402_H14_DISCRETE_0OHM      0Ohm                           R0402_H14                        158.727   313.413 90  N
R1013          R_R0402_H14_DISCRETE_0OHM      0Ohm                           R0402_H14                        157.657   313.442 90  N
R1015          R_R0402_H14_DISCRETE_0OHM      0Ohm                           R0402_H14                        156.536   313.436 90  N
R1016          R_R0402_H14_DISCRETE_0OHM      0Ohm                           R0402_H14                        155.448   313.436 90  N
R1019          R_R0402_H14_DISCRETE_0OHM      0Ohm                           R0402_H14                        149.638   296.545 180 N
R1020          R_R0402_H14_DISCRETE_0OHM      0Ohm                           R0402_H14                        154.305   313.436 90  N
R1021          R_R0402_H14_DISCRETE_0OHM      0Ohm                           R0402_H14                        146.971   297.688 180 N
R1022          R_R0402_H14_DISCRETE_0OHM      0Ohm                           R0402_H14                        153.139   313.413 90  N
R1023          R_R0402_H14_DISCRETE_0OHM      0Ohm                           R0402_H14                        146.971   296.545 180 N
R1025          R_R0402_H14_DISCRETE_0OHM      0Ohm                           R0402_H14                        150.868   313.428 90  N
R1026          R_R0402_H14_DISCRETE_0OHM      0Ohm                           R0402_H14                        152.013   313.430 90  N
R1027          R_R0402_H14_DISCRETE_0OHM      0Ohm                           R0402_H14                        149.732   313.436 90  N
R1029          R_R0402_H16_DISCRETE_2KOHM     2KOhm                          R0402_H16                        146.923   304.393 0   N
R1030          R_R0402_H16_DISCRETE_2KOHM     2KOhm                          R0402_H16                        146.918   303.233 0   N
R1031          R_R0402_H16_DISCRETE_2KOHM     2KOhm                          R0402_H16                        149.508   304.393 0   N
R1032          R_R0402_H16_DISCRETE_2KOHM     2KOhm                          R0402_H16                        174.625   206.121 90  N
R1033          R_R0402_H16_DISCRETE_2KOHM     2KOhm                          R0402_H16                        149.590   303.123 0   N
R1034          R_R0402_H16_DISCRETE_2KOHM     2KOhm                          R0402_H16                        149.587   297.688 0   N
R1035          R_R0402_H16_DISCRETE_2KOHM     2KOhm                          R0402_H16                        168.294   306.070 180 N
R1036          R_R0402_H16_DISCRETE_2KOHM     2KOhm                          R0402_H16                        170.834   307.213 180 N
R1037          R_R0402_H16_DISCRETE_2KOHM     2KOhm                          R0402_H16                        167.823   299.782 180 N
R1038          R_R0402_H16_DISCRETE_2KOHM     2KOhm                          R0402_H16                        170.053   313.817 270 N
R1039          R_R0402_H16_DISCRETE_2KOHM     2KOhm                          R0402_H16                        164.550   310.788 270 N
R1040          R_R0402_H16_DISCRETE_2KOHM     2KOhm                          R0402_H16                        162.052   310.788 270 N
R1043          R_R0402_H16_DISCRETE_2KOHM     2KOhm                          R0402_H16                        160.936   310.781 270 N
R1046          R_R0402_H16_DISCRETE_2KOHM     2KOhm                          R0402_H16                        159.893   310.758 270 N
R1047          R_R0402_H16_DISCRETE_2KOHM     2KOhm                          R0402_H16                        158.750   310.756 270 N
R1050          R_R0402_H16_DISCRETE_2KOHM     2KOhm                          R0402_H16                        157.657   310.763 270 N
R1052          R_R0402_H16_DISCRETE_2KOHM     2KOhm                          R0402_H16                        156.536   310.786 270 N
R1053          R_R0402_H16_DISCRETE_2KOHM     2KOhm                          R0402_H16                        155.448   310.756 270 N
R1056          R_R0402_H16_DISCRETE_2KOHM     2KOhm                          R0402_H16                        154.305   310.756 270 N
R1057          R_R0402_H16_DISCRETE_2KOHM     2KOhm                          R0402_H16                        153.162   310.756 270 N
R1059          R_R0402_H16_DISCRETE_2KOHM     2KOhm                          R0402_H16                        150.876   310.756 270 N
R1060          R_R0402_H16_DISCRETE_2KOHM     2KOhm                          R0402_H16                        152.019   310.769 270 N
R1061          R_R0402_H16_DISCRETE_2KOHM     2KOhm                          R0402_H16                        149.733   310.792 270 N
R1063          R_R0402_H16_DISCRETE_49.9OHM   49.9Ohm                        R0402_H16                        168.275   308.356 0   N
R1064          R_R0402_H16_DISCRETE_49.9OHM   49.9Ohm                        R0402_H16                        170.542   301.879 0   N
R1065          R_R0402_DISCRETE_33OHM         33Ohm                          R0402                            168.275   313.817 90  N
R1066          R_R0402_H16_DISCRETE_10KOHM    10KOhm                         R0402_H16                        131.826   267.716 90  N
R1067          R_R0402_H16_DISCRETE_1KOHM     1KOhm                          R0402_H16                        134.633   267.736 270 N
R1068          R_R0402_H14_DISCRETE_0OHM      0Ohm                           R0402_H14                        149.511   307.086 180 N
R1071          R_R0402_H16_DISCRETE_2KOHM     2KOhm                          R0402_H16                        163.195   310.788 270 N
R1074          R_R0402_DISCRETE_0OHM          0Ohm                           R0402                            231.819   408.178 90  N
R1075          R_R0402_DISCRETE_0OHM          0Ohm                           R0402                            230.756   408.178 90  N
R1076          R_R0402_DISCRETE_10KOHM        10KOhm                         R0402                            167.748   301.879 0   N
R1077          R_R0402_DISCRETE_10KOHM        10KOhm                         R0402                            179.100   303.546 270 N
R1078          R_R0402_H16_DISCRETE_33OHM     33Ohm                          R0402_H16                        208.534   209.804 180 N
R1079          R_R0402_H16_DISCRETE_33OHM     33Ohm                          R0402_H16                        218.711   208.260 0   N
R1080          R_R0402_DISCRETE_47.5KOHM      47.5KOHM                       R0402                            264.922   297.180 0   N
R1081          R_R0402_DISCRETE_47.5KOHM      47.5KOHM                       R0402                            260.985   136.271 0   N
R1082          R_R0402_DISCRETE_0OHM          0Ohm                           R0402                            263.906   136.271 0   N
R1083          R_R0402_DISCRETE_0OHM          0Ohm                           R0402                            267.462   297.180 0   N
R1086          R_R0402_DISCRETE_33OHM         33Ohm                          R0402                            170.336   299.823 0   N
R1089          R_R0402_DISCRETE_10KOHM        10KOhm                         R0402                            146.939   251.460 270 N
R1091          R_R0402_H14_DISCRETE_4.7KOHM   4.7KOhm                        R0402_H14                        146.971   298.831 180 N
R1093          R_R0402_DISCRETE_2.2KOHM       2.2KOhm                        R0402                            146.920   300.101 0   N
R1094          R_R0402_DISCRETE_33OHM         33Ohm                          R0402                            144.164   300.101 180 N
R1096          R_R0402_DISCRETE_33OHM         33Ohm                          R0402                            144.164   298.831 180 N
R1098          R_R0402_H16_DISCRETE_10KOHM    10KOhm                         R0402_H16                        136.906   261.112 90  N
R1099          R_R0402_H16_DISCRETE_1KOHM     1KOhm                          R0402_H16                        133.096   267.716 90  N
R1100          R_R0402_DISCRETE_33OHM         33Ohm                          R0402                            149.587   300.101 0   N
R1102          R_R0402_DISCRETE_33OHM         33Ohm                          R0402                            149.587   298.831 0   N
R1104          R_R0402_H16_DISCRETE_10KOHM    10KOhm                         R0402_H16                         74.676   268.224 270 N
R1105          R_R0402_DISCRETE_33OHM         33Ohm                          R0402                            156.817   290.443 90  N
R1106          R_R0402_DISCRETE_33OHM         33Ohm                          R0402                            161.036   254.254 0   N
R1107          R_R0402_DISCRETE_33OHM         33Ohm                          R0402                            174.176   237.235 0   N
R1108          R_R0402_DISCRETE_33OHM         33Ohm                          R0402                            163.576   254.254 180 N
R1111          R_R0402_DISCRETE_0OHM          0Ohm                           R0402                            127.938   291.229 0   N
R1112          R_R0402_DISCRETE_0OHM          0Ohm                           R0402                            127.938   288.740 0   N
R1114          R_R0402_DISCRETE_0OHM          0Ohm                           R0402                            139.037   290.066 180 N
R1115          R_R0402_DISCRETE_0OHM          0Ohm                           R0402                            116.227   288.251 180 N
R1116          R_R0402_DISCRETE_0OHM          0Ohm                           R0402                            125.222   273.304 180 N
R1119          R_R0603_H24_DISCRETE_169OHM    169Ohm                         R0603_H24                        185.420   317.246 90  N
R1120          R_R0603_H24_DISCRETE_169OHM    169Ohm                         R0603_H24                        186.944   317.246 90  N
R1121          R_R0603_H24_DISCRETE_169OHM    169Ohm                         R0603_H24                        188.468   317.246 90  N
R1122          R_R0603_H24_DISCRETE_169OHM    169Ohm                         R0603_H24                        189.992   317.246 90  N
R1123          R_R0603_H24_DISCRETE_169OHM    169Ohm                         R0603_H24                        191.516   317.246 90  N
R1124          R_R0603_H24_DISCRETE_169OHM    169Ohm                         R0603_H24                        193.040   317.246 90  N
R1125          R_R0603_H24_DISCRETE_169OHM    169Ohm                         R0603_H24                        194.564   317.246 90  N
R1126          R_R0603_H24_DISCRETE_169OHM    169Ohm                         R0603_H24                        196.088   317.246 90  N
R1127          R_R0402_DISCRETE_360OHM        360Ohm                         R0402                            194.564   314.452 270 N
R1128          R_R0402_DISCRETE_360OHM        360Ohm                         R0402                            193.040   314.452 270 N
R1129          R_R0402_DISCRETE_360OHM        360Ohm                         R0402                            191.516   314.452 270 N
R1130          R_R0402_DISCRETE_360OHM        360Ohm                         R0402                            189.992   314.452 270 N
R1131          R_R0402_DISCRETE_360OHM        360Ohm                         R0402                            188.468   314.452 270 N
R1132          R_R0402_DISCRETE_360OHM        360Ohm                         R0402                            186.944   314.452 270 N
R1133          R_R0402_DISCRETE_360OHM        360Ohm                         R0402                            185.420   314.452 270 N
R1134          R_R0603_H24_DISCRETE_169OHM    169Ohm                         R0603_H24                        139.573   254.000 90  N
R1140          R_R0402_DISCRETE_10KOHM        10KOhm                         R0402                            178.465   301.808 0   N
R1141          R_R0402_DISCRETE_10KOHM        10KOhm                         R0402                            180.323   312.758 90  N
R1142          R_R0402_DISCRETE_0OHM          0Ohm                           R0402                             72.680    94.767 90  N
R1144          R_R0402_DISCRETE_0OHM          0Ohm                           R0402                             71.639    94.767 90  N
R1145          R_R0402_DISCRETE_10KOHM        10KOhm                         R0402                             83.231    84.858 90  N
R1146          R_R0402_DISCRETE_10KOHM        10KOhm                         R0402                             84.348    84.859 90  N
R1153          R_R0402_DISCRETE_10KOHM        10KOhm                         R0402                             82.290   319.653 90  N
R1154          R_R0402_DISCRETE_10KOHM        10KOhm                         R0402                             83.332   319.653 90  N
R1158          R_R0402_DISCRETE_0OHM          0Ohm                           R0402                            103.692   339.989 90  N
R1159          R_R0402_DISCRETE_0OHM          0Ohm                           R0402                            102.619   339.979 90  N
R1160          R_R0402_DISCRETE_0OHM          0Ohm                           R0402                            108.712   339.598 270 N
R1163          R_R0402_DISCRETE_10KOHM        10KOhm                         R0402                            107.681   339.603 90  N
R1164          R_R0402_DISCRETE_0OHM          0Ohm                           R0402                            105.029   339.979 90  N
R1168          R_R0402_DISCRETE_2.7KOHM       2.7KOHM                        R0402                             60.681   144.272 0   N
R1169          R_R0402_DISCRETE_0OHM          0Ohm                           R0402                             73.406   135.382 0   N
R1170          R_R0402_DISCRETE_0OHM          0Ohm                           R0402                             73.406   137.668 0   N
R1171          R_R0402_DISCRETE_0OHM          0Ohm                           R0402                             73.406   139.065 0   N
R1172          R_R0402_DISCRETE_0OHM          0Ohm                           R0402                             73.406   132.842 0   N
R1174          R_R0402_H16_DISCRETE_10KOHM    10KOhm                         R0402_H16                         73.406   131.699 0   N
R1175          R_R0402_H16_DISCRETE_1KOHM     1KOhm                          R0402_H16                         73.406   130.683 180 N
R1188          R_R0402_DISCRETE_0OHM          0Ohm                           R0402                            457.496   147.507 270 N
R1189          R_R0402_DISCRETE_10KOHM        10KOhm                         R0402                            454.620   144.381 270 N
R1190          R_R0402_DISCRETE_10KOHM        10KOhm                         R0402                            458.183   149.760 0   N
R1191          R_R0402_DISCRETE_10KOHM        10KOhm                         R0402                            458.185   139.370 270 N
R1192          R_R0402_DISCRETE_10KOHM        10KOhm                         R0402                            458.114   151.735 270 N
R1193          R_R0402_DISCRETE_0OHM          0Ohm                           R0402                            457.144   139.318 270 N
R1194          R_R0402_DISCRETE_0OHM          0Ohm                           R0402                            459.232   151.735 270 N
R1197          R_R0402_DISCRETE_0OHM          0Ohm                           R0402                            455.511    54.362 180 N
R1198          R_R0402_DISCRETE_10KOHM        10KOhm                         R0402                            453.659    60.887 270 N
R1199          R_R0402_DISCRETE_10KOHM        10KOhm                         R0402                            460.889    60.954 0   N
R1200          R_R0402_DISCRETE_10KOHM        10KOhm                         R0402                            455.710    45.186 180 N
R1201          R_R0402_DISCRETE_10KOHM        10KOhm                         R0402                            458.165    61.754 270 N
R1202          R_R0402_DISCRETE_0OHM          0Ohm                           R0402                            455.712    43.989 180 N
R1203          R_R0402_DISCRETE_0OHM          0Ohm                           R0402                            459.228    61.752 270 N
R1215          R_R0402_DISCRETE_0OHM          0Ohm                           R0402                            456.414   352.316 180 N
R1216          R_R0402_DISCRETE_10KOHM        10KOhm                         R0402                            454.046   353.397 0   N
R1217          R_R0402_DISCRETE_10KOHM        10KOhm                         R0402                            460.390   352.959 0   N
R1218          R_R0402_DISCRETE_10KOHM        10KOhm                         R0402                            456.573   340.501 180 N
R1219          R_R0402_DISCRETE_10KOHM        10KOhm                         R0402                            457.294   354.014 270 N
R1220          R_R0402_DISCRETE_0OHM          0Ohm                           R0402                            456.573   341.555 180 N
R1221          R_R0402_DISCRETE_0OHM          0Ohm                           R0402                            458.343   353.949 270 N
R1224          R_R0402_DISCRETE_0OHM          0Ohm                           R0402                            455.531   259.300 180 N
R1225          R_R0402_DISCRETE_10KOHM        10KOhm                         R0402                            455.636   265.350 180 N
R1226          R_R0402_DISCRETE_10KOHM        10KOhm                         R0402                            460.889   266.954 0   N
R1227          R_R0402_DISCRETE_10KOHM        10KOhm                         R0402                            455.710   251.186 180 N
R1228          R_R0402_DISCRETE_10KOHM        10KOhm                         R0402                            458.058   267.730 270 N
R1229          R_R0402_DISCRETE_0OHM          0Ohm                           R0402                            455.724   250.040 180 N
R1230          R_R0402_DISCRETE_0OHM          0Ohm                           R0402                            459.075   267.730 270 N
R1231          R_R0402_H16_DISCRETE_1KOHM     1KOhm                          R0402_H16                        133.223   225.857 90  N
R1232          R_R0402_H16_DISCRETE_1KOHM     1KOhm                          R0402_H16                        132.156   225.840 90  N
R1233          R_R0402_H16_DISCRETE_1KOHM     1KOhm                          R0402_H16                        124.575   197.607 0   N
R1234          R_R0402_H16_DISCRETE_1KOHM     1KOhm                          R0402_H16                        124.241   244.315 0   N
R1235          R_R0402_DISCRETE_10KOHM        10KOhm                         R0402                            126.670   180.442 180 N
R1236          R_R0402_H16_DISCRETE_1KOHM     1KOhm                          R0402_H16                        126.670   179.400 180 N
R1237          R_R0402_DISCRETE_0OHM          0Ohm                           R0402                            126.670   178.384 0   N
R1238          R_R0402_DISCRETE_100KOHM       100KOhm                        R0402                            126.670   175.920 0   N
R1239          R_R0402_DISCRETE_10KOHM        10KOhm                         R0402                            126.675   176.984 0   N
R1240          R_R0402_H16_DISCRETE_1KOHM     1KOhm                          R0402_H16                        126.695   181.864 0   N
R1242          R_R0402_DISCRETE_10KOHM        10KOhm                         R0402                            124.598   198.819 0   N
R1248          R_R0402_DISCRETE_100KOHM       100KOhm                        R0402                            126.746   184.658 180 N
R1249          R_R0402_DISCRETE_100KOHM       100KOhm                        R0402                            126.721   185.699 180 N
R1250          R_R0402_DISCRETE_100KOHM       100KOhm                        R0402                             56.357   307.622 180 N
R1251          R_R0402_DISCRETE_100KOHM       100KOhm                        R0402                            126.695   186.741 180 N
R1252          R_R0402_DISCRETE_0OHM          0Ohm                           R0402                             73.406   136.525 0   N
R1253          R_R0402_H16_DISCRETE_1KOHM     1KOhm                          R0402_H16                        104.140   332.994 270 N
R1254          R_R0402_H16_DISCRETE_1KOHM     1KOhm                          R0402_H16                        102.616   332.994 270 N
R1255          R_R0402_H16_DISCRETE_1KOHM     1KOhm                          R0402_H16                        105.410   332.994 270 N
R1256          R_R0805_H24_DISCRETE_0OHM      0Ohm                           R0805_H24                        194.310   239.014 0   N
R1258          R_R0402_DISCRETE_0OHM          0Ohm                           R0402                             85.039   267.665 0   N
R1259          R_R0402_DISCRETE_0OHM          0Ohm                           R0402                             85.506   265.684 90  N
R1260          R_R0603_H24_DISCRETE_0OHM      0Ohm                           R0603_H24                         91.821   268.097 90  N
R1261          R_R0402_H16_DISCRETE_20KOHM    20KOhm                         R0402_H16                         48.133   299.568 0   N
R1262          R_R0402_H16_DISCRETE_20KOHM    20KOhm                         R0402_H16                         84.490   265.684 270 N
R1263          R_R0402_DISCRETE_0OHM          0Ohm                           R0402                             50.596   299.244 0   N
R1264          R_R0402_H16_DISCRETE_1KOHM     1KOhm                          R0402_H16                         55.897   296.337 0   N
R1265          R_R0402_DISCRETE_0OHM          0Ohm                           R0402                             85.039   268.732 0   N
R1266          R_R0402_DISCRETE_0OHM          0Ohm                           R0402                             50.596   297.145 180 N
R1267          R_R0402_DISCRETE_0OHM          0Ohm                           R0402                             50.596   298.228 180 N
R1268          R_R0402_DISCRETE_0OHM          0Ohm                           R0402                             50.596   296.129 0   N
R1274          R_R0603_H24_DISCRETE_0OHM      0Ohm                           R0603_H24                         34.443   294.247 90  N
R1275          R_R0603_H24_DISCRETE_0OHM      0Ohm                           R0603_H24                         32.936   306.085 0   N
R1277          R_R0603_H24_DISCRETE_0OHM      0Ohm                           R0603_H24                         41.656   304.546 0   N
R1279          R_R0603_H24_DISCRETE_0OHM      0Ohm                           R0603_H24                         33.782   299.466 180 N
R1281          R_R0402_DISCRETE_510OHM        510OHM                         R0402                             29.071   289.342 180 N
R1295          R_R0402_H16_DISCRETE_4.7KOHM   4.7KOhm                        R0402_H16                         29.071   288.199 180 N
R1296          R_R0402_H16_DISCRETE_4.7KOHM   4.7KOhm                        R0402_H16                         29.071   287.056 0   N
R1313          R_R0402_DISCRETE_0OHM          0Ohm                           R0402                             40.626   298.160 270 N
R1314          R_R0402_DISCRETE_0OHM          0Ohm                           R0402                             33.043   279.014 0   N
R1315          R_R0402_DISCRETE_0OHM          0Ohm                           R0402                             33.043   280.030 0   N
R1316          R_R0402_DISCRETE_0OHM          0Ohm                           R0402                             33.043   281.173 0   N
R1317          R_R0402_DISCRETE_0OHM          0Ohm                           R0402                             33.043   282.189 0   N
R1318          R_R0402_DISCRETE_0OHM          0Ohm                           R0402                             33.043   283.488 0   N
R1319          R_R0402_DISCRETE_0OHM          0Ohm                           R0402                             33.043   284.504 0   N
R1320          R_R0402_DISCRETE_0OHM          0Ohm                           R0402                             33.043   285.774 0   N
R1321          R_R0402_DISCRETE_0OHM          0Ohm                           R0402                             33.043   286.790 0   N
R1323          R_R0402_DISCRETE_510OHM        510OHM                         R0402                             42.672   272.542 0   N
R1324          R_R0402_DISCRETE_510OHM        510OHM                         R0402                            106.045   289.882 180 N
R1325          R_R0402_DISCRETE_510OHM        510OHM                         R0402                            106.045   290.943 180 N
R1326          R_R0402_DISCRETE_510OHM        510OHM                         R0402                            106.045   291.979 180 N
R1327          R_R0402_DISCRETE_33OHM         33Ohm                          R0402                            103.942   294.395 90  N
R1328          R_R0402_H16_DISCRETE_4.7KOHM   4.7KOhm                        R0402_H16                        103.963   296.703 90  N
R1329          R_R0402_DISCRETE_2.7KOHM       2.7KOHM                        R0402                             20.493   291.992 270 N
R1330          R_R0603_H24_DISCRETE_510OHM    510Ohm                         R0603_H24                        216.332   155.092 0   N
R1331          R_R0402_DISCRETE_0OHM          0Ohm                           R0402                            224.815   408.178 90  N
R1332          R_R0402_DISCRETE_10KOHM        10KOhm                         R0402                            224.887   402.332 270 N
R1333          R_R0603_H24_DISCRETE_330OHM    330Ohm                         R0603_H24                        216.433   413.080 90  N
R1334          R_R0402_DISCRETE_330OHM        330Ohm                         R0402                            216.433   415.671 270 N
R1335          R_R0402_DISCRETE_10KOHM        10KOhm                         R0402                             22.716   293.051 90  N
R1336          R_R0402_DISCRETE_10KOHM        10KOhm                         R0402                             20.476   294.775 270 N
R1337          R_R0402_H16_DISCRETE_1KOHM     1KOhm                          R0402_H16                        216.433   418.008 90  N
R1338          R_R0603_H24_DISCRETE_150OHM    150Ohm                         R0603_H24                        216.433   406.984 270 N
R1339          R_R0402_H16_DISCRETE_10KOHM    10KOhm                         R0402_H16                        223.774   408.178 90  N
R1340          R_R0603_H24_DISCRETE_150OHM    150Ohm                         R0603_H24                        105.435   283.032 0   N
R1341          R_R0402_H16_DISCRETE_10KOHM    10KOhm                         R0402_H16                        204.610   164.615 90  N
R1342          R_R0402_H16_DISCRETE_10KOHM    10KOhm                         R0402_H16                        209.790   405.586 270 N
R1343          R_R0402_H16_DISCRETE_4.7KOHM   4.7KOhm                        R0402_H16                        228.521   407.162 180 N
R1344          R_R0402_DISCRETE_1KOHM         1KOHM                          R0402                            232.763   405.638 90  N
R1346          R_R0402_H16_DISCRETE_8.2KOHM   8.2KOhm                        R0402_H16                        204.610   169.441 270 N
R1347          R_R0402_H16_DISCRETE_8.2KOHM   8.2KOhm                        R0402_H16                        204.532   167.088 270 N
R1348          R_R0402_DISCRETE_330OHM        330Ohm                         R0402                            226.873   408.178 270 N
R1349          R_R0402_DISCRETE_330OHM        330Ohm                         R0402                            232.866   408.186 270 N
R1350          R_R0402_H16_DISCRETE_4.7KOHM   4.7KOhm                        R0402_H16                        133.972   304.230 270 N
R1352          R_R0402_H16_DISCRETE_10KOHM    10KOhm                         R0402_H16                        137.536   304.221 270 N
R1353          R_R0603_DISCRETE_649KOHM       649KOHM                        R0603                            128.683   309.588 270 N
R1354          R_R0402_DISCRETE_0OHM          0Ohm                           R0402                            132.839   304.231 270 N
R1355          R_R0402_H16_DISCRETE_10KOHM    10KOhm                         R0402_H16                        135.375   304.219 90  N
R1356          R_R0402_H16_DISCRETE_10OHM     10Ohm                          R0402_H16                        130.302   312.166 270 N
R1359          R_R0402_DISCRETE_330OHM        330Ohm                         R0402                            220.290   408.206 270 N
R1360          R_R0402_DISCRETE_1KOHM         1KOHM                          R0402                            132.969   314.960 270 N
