---------------------------------------------------------------------------------------------------
                                 COMPONENT  CENTER  REPORT
---------------------------------------------------------------------------------------------------
         |                        |                  |        MIL        |        MM         |   | 
         |                        |                  |-------------------|-------------------|   | 
 refdes  |      device type       |     package      |    x    |    y    |    x    |    y    |ang|m
---------------------------------------------------------------------------------------------------
ADM       TPS3895ADRYR_AK_DFN_6P_20_57X39/TPS3895ADRYR AK_DFN_6P_20_57X39_TI   5787.85   6848.60   147.011   173.954 180 N
C148      C_C0201_0.22UF/6.3V/0.22UF/6.3V C0201                9537.62   3435.00   242.256    87.249 270 N
C149      C_C0201_0.22UF/6.3V/0.22UF/6.3V C0201                9797.62   3415.00   248.860    86.741 90  N
C150      C_C0201_0.22UF/6.3V/0.22UF/6.3V C0201                9667.62   3435.00   245.558    87.249 270 N
C151      C_C0201_0.22UF/6.3V/0.22UF/6.3V C0201                9927.62   3415.00   252.162    86.741 90  N
C152      C_C0201_0.22UF/6.3V/0.22UF/6.3V C0201                9797.62   3435.00   248.860    87.249 270 N
C153      C_C0201_0.22UF/6.3V/0.22UF/6.3V C0201               10112.62   3415.00   256.861    86.741 90  N
C154      C_C0201_0.22UF/6.3V/0.22UF/6.3V C0201                9927.62   3435.00   252.162    87.249 270 N
C155      C_C0201_0.22UF/6.3V/0.22UF/6.3V C0201               10242.62   3415.00   260.163    86.741 90  N
C156      C_C0201_0.22UF/6.3V/0.22UF/6.3V C0201               10112.62   3435.00   256.861    87.249 270 N
C157      C_C0201_0.22UF/6.3V/0.22UF/6.3V C0201               10317.62   3415.00   262.068    86.741 90  N
C158      C_C0201_0.22UF/6.3V/0.22UF/6.3V C0201               10242.62   3435.00   260.163    87.249 270 N
C159      C_C0201_0.22UF/6.3V/0.22UF/6.3V C0201               10502.62   3415.00   266.767    86.741 90  N
C160      C_C0201_0.22UF/6.3V/0.22UF/6.3V C0201               10317.62   3435.00   262.068    87.249 270 N
C161      C_C0201_0.22UF/6.3V/0.22UF/6.3V C0201               10502.62   3435.00   266.767    87.249 270 N
C162      C_C0201_0.22UF/6.3V/0.22UF/6.3V C0201                9406.24   3819.35   238.918    97.011 90  N
C163      C_C0201_0.22UF/6.3V/0.22UF/6.3V C0201                9591.24   3819.35   243.617    97.011 90  N
C164      C_C0201_0.22UF/6.3V/0.22UF/6.3V C0201                9721.24   3819.35   246.919    97.011 90  N
C165      C_C0201_0.22UF/6.3V/0.22UF/6.3V C0201                9796.24   3819.35   248.824    97.011 90  N
C166      C_C0201_0.22UF/6.3V/0.22UF/6.3V C0201                9926.24   3819.35   252.126    97.011 90  N
C167      C_C0201_0.22UF/6.3V/0.22UF/6.3V C0201               10056.24   3819.35   255.428    97.011 90  N
C168      C_C0201_0.22UF/6.3V/0.22UF/6.3V C0201               10186.24   3819.35   258.730    97.011 90  N
C169      C_C0201_0.22UF/6.3V/0.22UF/6.3V C0201               10316.24   3819.35   262.032    97.011 90  N
C170      C_C0201_0.22UF/6.3V/0.22UF/6.3V C0201                9461.24   3819.35   240.315    97.011 90  N
C171      C_C0201_0.22UF/6.3V/0.22UF/6.3V C0201                9536.24   3819.35   242.220    97.011 90  N
C172      C_C0201_0.22UF/6.3V/0.22UF/6.3V C0201                9666.24   3819.35   245.522    97.011 90  N
C173      C_C0201_0.22UF/6.3V/0.22UF/6.3V C0201                9851.24   3819.35   250.221    97.011 90  N
C174      C_C0201_0.22UF/6.3V/0.22UF/6.3V C0201                9981.24   3819.35   253.523    97.011 90  N
C175      C_C0201_0.22UF/6.3V/0.22UF/6.3V C0201               10111.24   3819.35   256.825    97.011 90  N
C176      C_C0201_0.22UF/6.3V/0.22UF/6.3V C0201               10241.24   3819.35   260.127    97.011 90  N
C177      C_C0201_0.22UF/6.3V/0.22UF/6.3V C0201               10371.24   3819.35   263.429    97.011 90  N
C178      C_C0402_DISCRETE_0.1UF/10V/0.1UF/10V C0402               10377.84   3053.61   263.597    77.562 180 N
C179      C_C0402_DISCRETE_0.1UF/10V/0.1UF/10V C0402               10104.00   7422.98   256.642   188.544 270 N
C180      C_C0402_DISCRETE_0.1UF/10V/0.1UF/10V C0402               10100.82   7762.71   256.561   197.173 180 N
C181      C_C0402_DISCRETE_0.1UF/10V/0.1UF/10V C0402               10124.19   2789.01   257.154    70.841 180 N
C182      C_C0402_DISCRETE_0.1UF/10V/0.1UF/10V C0402               10356.54   2808.27   263.056    71.330 180 N
C183      C_C0201_0.22UF/6.3V/0.22UF/6.3V C0201                4491.35  13370.00   114.080   339.598 270 N
C184      C_C0201_0.22UF/6.3V/0.22UF/6.3V C0201                5709.52  12616.00   145.022   320.446 270 N
C185      C_C0201_0.22UF/6.3V/0.22UF/6.3V C0201                4562.73  13370.00   115.893   339.598 270 N
C186      C_C0201_0.22UF/6.3V/0.22UF/6.3V C0201                5482.41  12616.00   139.253   320.446 270 N
C187      C_C0201_0.22UF/6.3V/0.22UF/6.3V C0201                4632.73  13370.00   117.671   339.598 270 N
C188      C_C0201_0.22UF/6.3V/0.22UF/6.3V C0201                5411.81  12615.90   137.460   320.444 270 N
C189      C_C0201_0.22UF/6.3V/0.22UF/6.3V C0201                4704.08  13370.00   119.484   339.598 270 N
C190      C_C0201_0.22UF/6.3V/0.22UF/6.3V C0201                5339.81  12616.40   135.631   320.457 270 N
C191      C_C0201_0.22UF/6.3V/0.22UF/6.3V C0201                4934.00  13370.00   125.324   339.598 270 N
C192      C_C0201_0.22UF/6.3V/0.22UF/6.3V C0201                5268.19  12616.60   133.812   320.462 270 N
C193      C_C0201_0.22UF/6.3V/0.22UF/6.3V C0201                5004.00  13370.00   127.102   339.598 270 N
C194      C_C0201_0.22UF/6.3V/0.22UF/6.3V C0201                5197.77  12615.00   132.023   320.421 270 N
C195      C_C0201_0.22UF/6.3V/0.22UF/6.3V C0201                5075.00  13370.00   128.905   339.598 270 N
C196      C_C0201_0.22UF/6.3V/0.22UF/6.3V C0201                5127.31  12615.50   130.234   320.434 270 N
C197      C_C0201_0.22UF/6.3V/0.22UF/6.3V C0201                5145.00  13370.00   130.683   339.598 270 N
C198      C_C0201_0.22UF/6.3V/0.22UF/6.3V C0201                5055.71  12615.83   128.415   320.442 270 N
C199      C_C0201_0.22UF/6.3V/0.22UF/6.3V C0201                5432.00  13370.00   137.973   339.598 270 N
C200      C_C0201_0.22UF/6.3V/0.22UF/6.3V C0201                5505.00  13370.00   139.827   339.598 270 N
C201      C_C0201_0.22UF/6.3V/0.22UF/6.3V C0201                5737.52  12616.00   145.733   320.446 270 N
C202      C_C0201_0.22UF/6.3V/0.22UF/6.3V C0201                5575.00  13370.00   141.605   339.598 270 N
C203      C_C0201_0.22UF/6.3V/0.22UF/6.3V C0201                5510.41  12616.00   139.964   320.446 270 N
C204      C_C0201_0.22UF/6.3V/0.22UF/6.3V C0201                5645.00  13370.00   143.383   339.598 270 N
C205      C_C0201_0.22UF/6.3V/0.22UF/6.3V C0201                5439.81  12615.90   138.171   320.444 270 N
C206      C_C0201_0.22UF/6.3V/0.22UF/6.3V C0201                5715.66  13370.00   145.178   339.598 270 N
C207      C_C0201_0.22UF/6.3V/0.22UF/6.3V C0201                5367.81  12616.40   136.342   320.457 270 N
C208      C_C0201_0.22UF/6.3V/0.22UF/6.3V C0201                5786.00  13370.00   146.964   339.598 270 N
C209      C_C0201_0.22UF/6.3V/0.22UF/6.3V C0201                5296.19  12616.60   134.523   320.462 270 N
C210      C_C0201_0.22UF/6.3V/0.22UF/6.3V C0201                5858.00  13370.00   148.793   339.598 270 N
